file_name,pose_id,pose_name
dataset/tolasana/19-0.png,69,tolasana
dataset/tolasana/17-0.png,69,tolasana
dataset/tolasana/48-0.png,69,tolasana
dataset/tolasana/11-0.png,69,tolasana
dataset/tolasana/9-0.png,69,tolasana
dataset/tolasana/8-0.png,69,tolasana
dataset/tolasana/58-0.png,69,tolasana
dataset/tolasana/37-0.png,69,tolasana
dataset/tolasana/1-0.png,69,tolasana
dataset/tolasana/0-0.png,69,tolasana
dataset/tolasana/96-0.png,69,tolasana
dataset/tolasana/27-0.png,69,tolasana
dataset/tolasana/14-0.png,69,tolasana
dataset/tolasana/32-0.png,69,tolasana
dataset/tolasana/18-0.png,69,tolasana
dataset/tolasana/40-0.png,69,tolasana
dataset/tolasana/47-0.png,69,tolasana
dataset/tolasana/45-0.png,69,tolasana
dataset/tolasana/57-0.png,69,tolasana
dataset/tolasana/38-0.png,69,tolasana
dataset/tolasana/41-0.png,69,tolasana
dataset/tolasana/10-0.png,69,tolasana
dataset/tolasana/24-0.png,69,tolasana
dataset/tolasana/50-0.png,69,tolasana
dataset/tolasana/31-2.png,69,tolasana
dataset/tolasana/84-0.png,69,tolasana
dataset/tolasana/56-0.png,69,tolasana
dataset/tolasana/81-0.png,69,tolasana
dataset/tolasana/29-0.png,69,tolasana
dataset/tolasana/22-0.png,69,tolasana
dataset/tolasana/12-0.png,69,tolasana
dataset/tolasana/43-0.png,69,tolasana
dataset/tolasana/51-0.png,69,tolasana
dataset/tolasana/44-0.png,69,tolasana
dataset/tolasana/85-0.png,69,tolasana
dataset/tolasana/52-0.png,69,tolasana
dataset/tolasana/36-0.png,69,tolasana
dataset/tolasana/23-0.png,69,tolasana
dataset/tolasana/72-0.png,69,tolasana
dataset/tolasana/15-0.png,69,tolasana
dataset/tolasana/89-0.png,69,tolasana
dataset/tolasana/31-0.png,69,tolasana
dataset/tolasana/70-1.png,69,tolasana
dataset/tolasana/35-0.png,69,tolasana
dataset/tolasana/16-0.png,69,tolasana
dataset/tolasana/16-3.png,69,tolasana
dataset/tolasana/91-0.png,69,tolasana
dataset/tolasana/76-0.png,69,tolasana
dataset/tolasana/49-0.png,69,tolasana
dataset/tolasana/42-0.png,69,tolasana
dataset/tolasana/7-0.png,69,tolasana
dataset/tolasana/39-0.png,69,tolasana
dataset/tolasana/88-0.png,69,tolasana
dataset/tolasana/28-0.png,69,tolasana
dataset/tolasana/30-0.png,69,tolasana
dataset/tolasana/21-0.png,69,tolasana
dataset/tolasana/26-0.png,69,tolasana
